REF_DATE,CPI,HINDEX,CREDIT,MRATE,HNUM,CNUM,URATE,TimeTrend,CPI_growth,CREDIT_growth,SubprimeCrisis,CanadaRecession_90_92,FiscalShock_1995,Dotcom_2000_2001
1988-11-01,72.3,55.0,19.2308,11.78,8318.0,3844.0,10.2,1,0.0013850415512464131,0.010604866256765932,0,0,0,0
1988-12-01,72.3,55.8,19.4579,12.13,7249.0,2670.0,9.8,2,0.0,0.011809181105310262,0,0,0,0
1989-01-01,72.7,56.3,19.6837,12.24,5990.0,4667.0,11.3,3,0.0055325034578146415,0.011604541086139841,0,0,0,0
1989-02-01,73.2,57.7,19.9273,12.23,5024.0,2137.0,11.1,4,0.00687757909215958,0.012375722044127846,0,0,0,0
1989-03-01,73.6,58.6,20.1617,12.41,6423.0,3310.0,11.0,5,0.005464480874316724,0.011762757623963171,0,0,0,0
1989-04-01,73.8,59.1,20.3899,12.72,9357.0,3357.0,10.7,6,0.0027173913043478937,0.011318490008283,0,0,0,0
1989-09-01,75.6,60.1,21.6083,11.75,8142.0,3174.0,8.8,11,0.0013245033112581073,0.013018855540866126,0,0,0,0
1989-10-01,75.9,60.4,21.8845,11.75,8234.0,2777.0,8.8,12,0.003968253968254176,0.012782125387003962,0,0,0,0
1989-11-01,76.1,60.8,22.2077,11.75,7570.0,3829.0,9.9,13,0.0026350461133068936,0.01476844341885819,0,0,0,0
1989-12-01,76.1,61.1,23.0062,11.95,6661.0,2909.0,9.8,14,0.0,0.03595599724419918,0,0,0,0
1990-01-01,76.7,61.7,23.2808,12.01,6344.0,3832.0,11.7,15,0.007884362680683488,0.01193591292781937,0,0,0,0
1990-02-01,77.2,61.8,23.6282,12.42,4733.0,2544.0,11.2,16,0.006518904823989535,0.01492216762310572,0,0,0,0
1990-03-01,77.5,61.9,23.8942,12.92,6287.0,3194.0,10.7,17,0.0038860103626943143,0.011257734402112751,0,0,0,0
1990-04-01,77.5,61.8,24.1735,13.67,8880.0,3037.0,10.6,18,0.0,0.01168902913677794,0,1,0,0
1990-09-01,78.8,59.0,24.9864,13.4,5381.0,1513.0,10.6,23,0.0025445292620864812,0.005019789554976395,0,1,0,0
1990-10-01,79.5,58.6,25.1131,13.21,5391.0,1116.0,11.4,24,0.008883248730964466,0.005070758492619953,0,1,0,0
1990-11-01,80.0,58.0,25.2326,13.04,4766.0,1104.0,12.4,25,0.0062893081761006275,0.004758472669642577,0,1,0,0
1990-12-01,79.9,57.8,25.381,12.49,3602.0,1056.0,12.6,26,-0.0012499999999999734,0.0058812805656174305,0,1,0,0
1991-01-01,82.0,56.9,25.5912,12.13,2267.0,879.0,15.0,27,0.026282853566958586,0.008281785587644253,0,1,0,0
1991-02-01,82.0,55.8,25.746,11.58,1939.0,539.0,15.3,28,0.0,0.006048954328050193,0,1,0,0
1991-03-01,82.3,56.0,25.9159,11.45,3099.0,530.0,16.0,29,0.003658536585365857,0.006599083352753832,0,1,0,0
1991-04-01,82.3,55.8,26.0782,11.27,5264.0,847.0,14.9,30,0.0,0.006262564680370009,0,1,0,0
1991-09-01,83.1,56.2,26.9701,11.38,6118.0,1751.0,13.3,35,-0.0024009603841537164,0.0063282401447735115,0,1,0,0
1991-10-01,83.0,56.2,27.1527,10.84,7290.0,2790.0,13.2,36,-0.001203369434416346,0.006770460621206453,0,1,0,0
1991-11-01,83.3,55.9,27.3211,10.14,6354.0,1730.0,14.0,37,0.0036144578313253017,0.006201961499224806,0,1,0,0
1991-12-01,82.9,55.9,27.4822,9.84,5348.0,1857.0,13.4,38,-0.004801920768307211,0.005896541500891361,0,1,0,0
1992-01-01,83.3,55.8,27.6273,9.71,3843.0,1262.0,15.6,39,0.004825090470446325,0.005279781094672087,0,1,0,0
1992-02-01,83.3,55.8,27.7543,9.68,3194.0,846.0,16.0,40,0.0,0.004596902339352837,0,1,0,0
1992-03-01,83.6,55.9,27.9039,10.06,3921.0,1586.0,16.8,41,0.0036014405762303525,0.005390155759648074,0,1,0,0
1992-04-01,83.7,56.0,28.0488,10.37,7386.0,2111.0,15.3,42,0.0011961722488038617,0.005192822508681472,0,0,0,0
1992-09-01,84.2,56.2,28.8365,8.54,6402.0,2146.0,14.2,47,0.0,0.00676260700769471,0,0,0,0
1992-10-01,84.3,56.3,29.1125,9.23,6467.0,1690.0,14.0,48,0.0011876484560569,0.00957120316265847,0,0,0,0
1992-11-01,84.7,56.3,29.2935,9.33,7018.0,1702.0,15.6,49,0.004744958481613271,0.00621726062687844,0,0,0,0
1992-12-01,84.7,56.3,29.5149,9.48,5619.0,2375.0,14.9,50,0.0,0.007557990680526316,0,0,0,0
1993-01-01,85.0,56.2,29.5978,9.47,3569.0,1577.0,15.9,51,0.0035419126328217754,0.002808750834324414,0,0,0,0
1993-02-01,85.3,56.4,29.8055,9.44,3281.0,1907.0,15.6,52,0.003529411764705781,0.007017413456405608,0,0,0,0
1993-03-01,85.2,56.7,29.9901,8.97,3844.0,2145.0,16.9,53,-0.0011723329425555873,0.0061934877791012255,0,0,0,0
1993-04-01,85.2,57.0,30.1146,8.89,7233.0,3147.0,16.2,54,0.0,0.004151369952084094,0,0,0,0
1993-09-01,85.7,57.1,30.6487,8.57,5679.0,2228.0,14.0,59,0.0,0.004783167446922976,0,0,0,0
1993-10-01,85.9,57.0,30.802,8.55,6339.0,2500.0,14.0,60,0.002333722287047868,0.005001843471338141,0,0,0,0
