﻿REF_DATE,CREDIT
1969-01,14169
1969-02,14299
1969-03,14447
1969-04,14609
1969-05,14757
1969-06,14915
1969-07,15092
1969-08,15261
1969-09,15420
1969-10,15598
1969-11,15762
1969-12,15895
1970-01,16055
1970-02,16232
1970-03,16406
1970-04,16566
1970-05,16704
1970-06,16858
1970-07,17000
1970-08,17127
1970-09,17269
1970-10,17412
1970-11,17562
1970-12,17754
1971-01,17951
1971-02,18146
1971-03,18355
1971-04,18609
1971-05,18779
1971-06,19013
1971-07,19265
1971-08,19536
1971-09,19833
1971-10,20126
1971-11,20412
1971-12,20715
1972-01,20998
1972-02,21255
1972-03,21661
1972-04,22087
1972-05,22362
1972-06,22696
1972-07,23010
1972-08,23397
1972-09,23763
1972-10,24122
1972-11,24509
1972-12,24921
1973-01,25289
1973-02,25735
1973-03,26116
1973-04,26529
1973-05,26976
1973-06,27441
1973-07,27934
1973-08,28450
1973-09,29007
1973-10,29495
1973-11,30000
1973-12,30497
1974-01,31023
1974-02,31549
1974-03,32070
1974-04,32679
1974-05,33253
1974-06,33841
1974-07,34385
1974-08,34783
1974-09,35219
1974-10,35619
1974-11,36011
1974-12,36366
1975-01,36764
1975-02,37241
1975-03,37740
1975-04,38248
1975-05,38807
1975-06,39384
1975-07,40014
1975-08,40620
1975-09,41264
1975-10,41908
1975-11,42522
1975-12,43177
1976-01,43772
1976-02,44401
1976-03,45046
1976-04,45715
1976-05,46291
1976-06,46991
1976-07,47619
1976-08,48220
1976-09,48895
1976-10,49630
1976-11,50429
1976-12,51272
1977-01,52168
1977-02,53072
1977-03,53902
1977-04,54820
1977-05,55673
1977-06,56938
1977-07,58233
1977-08,59144
1977-09,60087
1977-10,60980
1977-11,61818
1977-12,62766
1978-01,63575
1978-02,64380
1978-03,65215
1978-04,66071
1978-05,66954
1978-06,67818
1978-07,68752
1978-08,69624
1978-09,70594
1978-10,71547
1978-11,72656
1978-12,73709
1979-01,74583
1979-02,75539
1979-03,76508
1979-04,77392
1979-05,78266
1979-06,79112
1979-07,80190
1979-08,81416
1979-09,82478
1979-10,83430
1979-11,84358
1979-12,85064
1980-01,85646
1980-02,86301
1980-03,86882
1980-04,87533
1980-05,88041
1980-06,88383
1980-07,88858
1980-08,89315
1980-09,90059
1980-10,90761
1980-11,91570
1980-12,92313
1981-01,92934
1981-02,93404
1981-03,93746
1981-04,94193
1981-05,94523
1981-06,94933
1981-07,95192
1981-08,95658
1981-09,95809
1981-10,95901
1981-11,95383
1981-12,95072
1982-01,95226
1982-02,95753
1982-03,96072
1982-04,96199
1982-05,95995
1982-06,95641
1982-07,95359
1982-08,95023
1982-09,94762
1982-10,94691
1982-11,95325
1982-12,95578
1983-01,95761
1983-02,96337
1983-03,96973
1983-04,97561
1983-05,98196
1983-06,99078
1983-07,100002
1983-08,100798
