﻿REF_DATE,MRATE
1951-11,5.75
1951-12,5.75
1952-01,5.70
1952-02,5.70
1952-03,5.70
1952-04,5.70
1952-05,5.80
1952-06,5.80
1952-07,5.85
1952-08,5.85
1952-09,5.75
1952-10,5.80
1952-11,5.80
1952-12,5.80
1953-01,5.90
1953-02,5.90
1953-03,5.90
1953-04,5.90
1953-05,5.90
1953-06,5.95
1953-07,5.95
1953-08,5.95
1953-09,6.05
1953-10,6.05
1953-11,6.10
1953-12,6.10
1954-01,6.05
1954-02,6.05
1954-03,6.05
1954-04,6.00
1954-05,6.00
1954-06,6.00
1954-07,6.00
1954-08,6.00
1954-09,6.00
1954-10,6.00
1954-11,6.00
1954-12,6.00
1955-01,6.00
1955-02,6.00
1955-03,6.00
1955-04,6.00
1955-05,5.75
1955-06,5.75
1955-07,5.75
1955-08,5.70
1955-09,5.80
1955-10,5.90
1955-11,5.95
1955-12,5.95
1956-01,5.95
1956-02,5.95
1956-03,6.00
1956-04,6.00
1956-05,6.00
1956-06,6.05
1956-07,6.15
1956-08,6.35
1956-09,6.40
1956-10,6.55
1956-11,6.65
1956-12,6.65
1957-01,6.70
1957-02,6.75
1957-03,6.75
1957-04,6.75
1957-05,6.75
1957-06,6.85
1957-07,6.85
1957-08,6.90
1957-09,7.00
1957-10,7.00
1957-11,7.00
1957-12,6.95
1958-01,6.95
1958-02,6.90
1958-03,6.80
1958-04,6.75
1958-05,6.75
1958-06,6.75
1958-07,6.75
1958-08,6.75
1958-09,6.75
1958-10,6.80
1958-11,6.80
1958-12,6.80
1959-01,6.85
1959-02,6.85
1959-03,6.85
1959-04,6.80
1959-05,6.80
1959-06,6.85
1959-07,6.85
1959-08,6.95
1959-09,7.20
1959-10,7.20
1959-11,7.25
1959-12,7.25
1960-01,7.30
1960-02,7.30
1960-03,7.30
1960-04,7.30
1960-05,7.25
1960-06,7.25
1960-07,7.15
1960-08,7.15
1960-09,7.10
1960-10,7.00
1960-11,7.00
1960-12,7.00
1961-01,7.00
1961-02,7.00
1961-03,7.00
1961-04,7.00
1961-05,7.00
1961-06,7.00
1961-07,7.00
1961-08,7.00
1961-09,7.00
1961-10,7.00
1961-11,7.00
1961-12,7.00
1962-01,7.00
1962-02,7.00
1962-03,7.00
1962-04,6.90
1962-05,6.80
1962-06,6.95
1962-07,7.00
1962-08,7.00
1962-09,7.00
1962-10,7.00
1962-11,7.00
1962-12,7.00
1963-01,7.00
1963-02,7.00
1963-03,7.00
1963-04,6.94
1963-05,6.91
1963-06,6.91
1963-07,6.91
1963-08,7.00
1963-09,7.00
1963-10,7.00
1963-11,7.00
1963-12,7.00
1964-01,7.00
1964-02,7.00
1964-03,7.00
1964-04,6.95
1964-05,6.88
1964-06,6.88
1964-07,6.88
1964-08,7.00
1964-09,7.00
1964-10,7.00
1964-11,7.00
1964-12,7.00
1965-01,6.90
1965-02,6.85
1965-03,6.82
1965-04,6.82
1965-05,6.83
1965-06,6.83
1965-07,7.02
1965-08,7.13
1965-09,7.15
1965-10,7.25
1965-11,7.29
1965-12,7.40
1966-01,7.38
1966-02,7.45
1966-03,7.46
1966-04,7.48
1966-05,7.51
1966-06,7.57
1966-07,7.68
1966-08,7.80
1966-09,7.84
1966-10,7.87
1966-11,7.91
1966-12,7.95
1967-01,7.93
1967-02,7.89
1967-03,7.83
1967-04,7.80
1967-05,7.77
1967-06,7.88
1967-07,8.02
1967-08,8.05
1967-09,8.10
1967-10,8.49
1967-11,8.52
1967-12,8.52
1968-01,8.83
1968-02,8.84
1968-03,8.96
1968-04,9.20
1968-05,9.23
1968-06,9.18
1968-07,9.14
1968-08,9.12
1968-09,9.03
1968-10,9.01
1968-11,9.09
1968-12,9.10
1969-01,9.45
1969-02,9.45
1969-03,9.48
1969-04,9.52
1969-05,9.46
1969-06,9.69
1969-07,9.90
1969-08,9.99
1969-09,10.11
1969-10,10.21
1969-11,10.30
1969-12,10.50
1970-01,10.58
1970-02,10.54
1970-03,10.58
1970-04,10.60
1970-05,10.58
1970-06,10.53
1970-07,10.38
1970-08,10.40
1970-09,10.36
1970-10,10.35
1970-11,10.28
1970-12,10.16
1971-01,9.94
1971-02,9.72
1971-03,9.28
1971-04,9.20
1971-05,9.25
1971-06,9.34
1971-07,9.46
1971-08,9.53
1971-09,9.55
1971-10,9.55
1971-11,9.26
1971-12,9.10
1972-01,9.04
1972-02,8.93
1972-03,8.97
1972-04,9.03
1972-05,9.16
1972-06,9.37
1972-07,9.41
1972-08,9.41
1972-09,9.38
1972-10,9.35
1972-11,9.30
1972-12,9.22
1973-01,9.09
1973-02,9.02
1973-03,9.07
1973-04,9.15
1973-05,9.30
1973-06,9.52
1973-07,9.71
1973-08,9.91
1973-09,10.13
1973-10,10.13
1973-11,10.08
1973-12,10.02
1974-01,10.02
1974-02,10.01
1974-03,10.04
1974-04,10.70
1974-05,11.26
1974-06,11.37
1974-07,11.60
1974-08,11.85
1974-09,12.05
1974-10,12.05
1974-11,12.00
1974-12,11.88
1975-01,11.81
1975-02,10.95
1975-03,10.65
1975-04,10.67
1975-05,10.99
1975-06,11.23
1975-07,11.35
1975-08,11.52
1975-09,11.94
1975-10,12.15
1975-11,11.97
1975-12,11.89
1976-01,11.84
1976-02,11.80
1976-03,11.90
1976-04,12.03
1976-05,11.99
1976-06,11.93
1976-07,11.86
1976-08,11.83
1976-09,11.76
1976-10,11.60
1976-11,11.56
1976-12,11.27
1977-01,10.75
1977-02,10.25
1977-03,10.25
1977-04,10.25
1977-05,10.38
1977-06,10.35
1977-07,10.40
1977-08,10.33
1977-09,10.32
1977-10,10.34
1977-11,10.34
1977-12,10.33
1978-01,10.32
1978-02,10.31
1978-03,10.33
1978-04,10.42
1978-05,10.43
1978-06,10.32
1978-07,10.31
1978-08,10.31
1978-09,10.67
1978-10,10.93
1978-11,11.25
1978-12,11.53
1979-01,11.28
1979-02,11.25
1979-03,11.11
1979-04,11.05
1979-05,11.06
1979-06,11.16
1979-07,11.20
1979-08,11.80
1979-09,12.25
1979-10,13.50
1979-11,14.46
1979-12,13.58
1980-01,13.26
1980-02,13.50
1980-03,14.69
1980-04,16.94
1980-05,13.99
1980-06,12.92
1980-07,13.09
1980-08,13.44
1980-09,14.50
1980-10,14.87
1980-11,15.00
1980-12,15.60
1981-01,15.17
1981-02,15.27
1981-03,15.75
1981-04,16.45
1981-05,17.82
1981-06,18.55
1981-07,18.90
1981-08,21.30
1981-09,21.46
1981-10,20.54
1981-11,18.80
1981-12,17.79
1982-01,18.21
1982-02,18.97
1982-03,19.41
1982-04,19.28
1982-05,19.11
1982-06,19.10
1982-07,19.22
1982-08,18.72
1982-09,17.49
1982-10,16.02
1982-11,14.79
1982-12,14.34
1983-01,14.05
1983-02,13.60
1983-03,13.45
1983-04,13.26
1983-05,13.16
1983-06,12.98
1983-07,13.08
1983-08,13.57
1983-09,13.88
1983-10,13.10
1983-11,12.84
1983-12,12.55
1984-01,12.55
1984-02,12.52
1984-03,12.82
1984-04,13.51
1984-05,14.26
1984-06,14.53
1984-07,14.96
1984-08,14.45
1984-09,13.99
1984-10,13.72
1984-11,13.25
1984-12,12.74
1985-01,12.44
1985-02,12.57
1985-03,13.43
1985-04,12.77
1985-05,12.38
1985-06,11.89
1985-07,11.75
1985-08,11.77
1985-09,11.85
1985-10,11.96
1985-11,11.75
1985-12,11.61
1986-01,11.67
1986-02,11.94
1986-03,11.66
1986-04,11.12
1986-05,10.60
1986-06,10.87
1986-07,11.06
1986-08,11.00
1986-09,11.10
1986-10,11.25
1986-11,11.25
1986-12,11.17
1987-01,10.85
1987-02,10.46
1987-03,10.20
1987-04,10.39
1987-05,11.04
1987-06,11.26
1987-07,11.26
1987-08,11.49
1987-09,11.72
1987-10,11.97
1987-11,11.49
1987-12,11.56
1988-01,11.73
1988-02,11.49
1988-03,11.08
1988-04,11.04
1988-05,11.29
1988-06,11.41
1988-07,11.40
1988-08,11.92
1988-09,12.16
1988-10,11.79
1988-11,11.78
1988-12,12.13
1989-01,12.24
1989-02,12.23
1989-03,12.41
1989-04,12.72
1989-05,12.29
1989-06,11.93
1989-07,11.85
1989-08,11.76
1989-09,11.75
1989-10,11.75
1989-11,11.75
1989-12,11.95
1990-01,12.01
1990-02,12.42
1990-03,12.92
1990-04,13.67
1990-05,14.21
1990-06,14.03
1990-07,13.97
1990-08,13.56
1990-09,13.40
1990-10,13.21
1990-11,13.04
1990-12,12.49
1991-01,12.13
1991-02,11.58
1991-03,11.45
1991-04,11.27
1991-05,11.23
1991-06,11.24
1991-07,11.31
1991-08,11.47
1991-09,11.38
1991-10,10.84
1991-11,10.14
1991-12,9.84
1992-01,9.71
1992-02,9.68
1992-03,10.06
1992-04,10.37
1992-05,10.14
1992-06,9.72
1992-07,9.26
1992-08,8.72
1992-09,8.54
1992-10,9.23
1992-11,9.33
1992-12,9.48
1993-01,9.47
1993-02,9.44
1993-03,8.97
1993-04,8.89
1993-05,8.88
1993-06,8.86
1993-07,8.68
1993-08,8.58
1993-09,8.57
1993-10,8.55
1993-11,7.84
1993-12,7.71
1994-01,7.33
1994-02,7.20
1994-03,7.89
1994-04,9.43
1994-05,9.48
1994-06,9.80
1994-07,10.69
1994-08,10.33
1994-09,10.01
1994-10,9.84
1994-11,9.85
1994-12,10.25
1995-01,10.60
1995-02,10.48
1995-03,9.93
1995-04,9.66
1995-05,8.98
1995-06,8.67
1995-07,8.54
1995-08,8.94
1995-09,8.95
1995-10,8.75
1995-11,8.66
1995-12,8.46
1996-01,8.02
1996-02,7.79
1996-03,8.16
1996-04,8.48
1996-05,8.47
1996-06,8.48
1996-07,8.48
1996-08,8.01
1996-09,7.94
1996-10,7.50
1996-11,7.01
1996-12,6.94
1997-01,7.14
1997-02,7.12
1997-03,7.06
1997-04,7.56
1997-05,7.46
1997-06,7.22
1997-07,6.98
1997-08,7.00
1997-09,6.96
1997-10,6.73
1997-11,6.69
1997-12,6.90
1998-01,6.90
1998-02,6.84
1998-03,6.84
1998-04,6.79
1998-05,6.92
1998-06,6.90
1998-07,6.90
1998-08,7.08
1998-09,7.32
1998-10,6.73
1998-11,6.94
1998-12,6.69
1999-01,6.79
1999-02,6.79
1999-03,7.03
1999-04,6.71
1999-05,6.99
1999-06,7.35
1999-07,7.42
1999-08,7.80
1999-09,7.67
1999-10,7.90
1999-11,8.13
1999-12,8.13
2000-01,8.34
2000-02,8.43
2000-03,8.24
2000-04,8.23
2000-05,8.50
2000-06,8.34
2000-07,8.18
2000-08,8.08
2000-09,8.08
2000-10,8.08
2000-11,8.04
2000-12,7.81
2001-01,7.58
2001-02,7.52
2001-03,7.19
2001-04,7.22
2001-05,7.38
2001-06,7.47
2001-07,7.46
2001-08,7.39
2001-09,7.03
2001-10,6.74
2001-11,6.51
2001-12,6.64
2002-01,6.62
2002-02,6.59
2002-03,6.80
2002-04,7.00
2002-05,7.00
2002-06,6.98
2002-07,6.90
2002-08,6.61
2002-09,6.49
2002-10,6.50
2002-11,6.47
2002-12,6.39
2003-01,6.26
2003-02,6.29
2003-03,6.33
2003-04,6.44
2003-05,6.10
2003-06,5.62
2003-07,5.71
2003-08,5.87
2003-09,5.97
2003-10,5.83
2003-11,6.02
2003-12,6.00
2004-01,5.78
2004-02,5.51
2004-03,5.31
2004-04,5.56
2004-05,5.82
2004-06,6.06
2004-07,6.10
2004-08,5.97
2004-09,5.94
2004-10,5.95
2004-11,5.87
2004-12,5.69
2005-01,5.60
2005-02,5.59
2005-03,5.60
2005-04,5.67
2005-05,5.55
2005-06,5.31
2005-07,5.26
2005-08,5.32
2005-09,5.30
2005-10,5.39
2005-11,5.56
2005-12,5.60
2006-01,5.65
2006-02,5.75
2006-03,5.78
2006-04,5.88
2006-05,6.05
2006-06,6.12
2006-07,6.26
2006-08,6.24
2006-09,6.13
2006-10,6.01
2006-11,5.99
2006-12,5.89
2007-01,5.91
2007-02,6.00
2007-03,5.91
2007-04,5.92
2007-05,6.01
2007-06,6.51
2007-07,6.60
2007-08,6.62
2007-09,6.61
2007-10,6.69
2007-11,6.73
2007-12,6.75
2008-01,6.81
2008-02,6.72
2008-03,6.60
2008-04,6.40
2008-05,6.21
2008-06,6.20
2008-07,6.37
2008-08,6.25
2008-09,6.16
2008-10,6.46
2008-11,6.51
2008-12,6.17
2009-01,5.78
2009-02,5.28
2009-03,5.14
2009-04,4.79
2009-05,4.62
2009-06,4.90
2009-07,5.14
2009-08,5.13
2009-09,4.97
2009-10,5.00
2009-11,5.06
2009-12,4.83
2010-01,4.80
2010-02,4.73
2010-03,4.71
2010-04,5.15
2010-05,5.30
2010-06,5.18
2010-07,5.02
2010-08,4.82
2010-09,4.60
2010-10,4.52
2010-11,4.45
2010-12,4.50
2011-01,4.55
2011-02,4.68
2011-03,4.70
2011-04,4.87
2011-05,4.83
2011-06,4.60
2011-07,4.57
2011-08,4.52
2011-09,4.42
2011-10,4.35
2011-11,4.38
2011-12,4.36
2012-01,4.31
2012-02,4.23
2012-03,4.21
2012-04,4.36
2012-05,4.35
2012-06,4.25
2012-07,4.23
2012-08,4.23
2012-09,4.20
2012-10,4.17
2012-11,4.15
2012-12,4.15
2013-01,4.14
2013-02,4.11
2013-03,4.02
2013-04,4.02
2013-05,4.02
2013-06,4.00
2013-07,4.08
2013-08,4.14
2013-09,4.33
