﻿REF_DATE,HNUM
1988-11,8318
1988-12,7249
1989-01,5990
1989-02,5024
1989-03,6423
1989-04,9357
1989-05,11357
1989-06,9828
1989-07,9059
1989-08,9185
1989-09,8142
1989-10,8234
1989-11,7570
1989-12,6661
1990-01,6344
1990-02,4733
1990-03,6287
1990-04,8880
1990-05,9542
1990-06,8876
1990-07,6688
1990-08,5161
1990-09,5381
1990-10,5391
1990-11,4766
1990-12,3602
1991-01,2267
1991-02,1939
1991-03,3099
1991-04,5264
1991-05,8155
1991-06,8345
1991-07,7805
1991-08,7262
1991-09,6118
1991-10,7290
1991-11,6354
1991-12,5348
1992-01,3843
1992-02,3194
1992-03,3921
1992-04,7386
1992-05,8851
1992-06,8273
1992-07,7778
1992-08,6477
1992-09,6402
1992-10,6467
1992-11,7018
1992-12,5619
1993-01,3569
1993-02,3281
1993-03,3844
1993-04,7233
1993-05,8000
1993-06,7597
1993-07,7124
1993-08,6185
1993-09,5679
1993-10,6339
1993-11,5593
1993-12,5134
1994-01,3508
1994-02,2582
1994-03,4018
1994-04,8236
1994-05,9551
1994-06,8975
1994-07,8107
1994-08,6774
1994-09,6227
1994-10,5911
1994-11,5370
1994-12,4277
1995-01,2934
1995-02,2594
1995-03,2752
1995-04,5163
1995-05,5218
1995-06,5561
1995-07,4220
1995-08,4474
1995-09,4541
1995-10,4483
1995-11,4584
1995-12,3884
1996-01,2699
1996-02,2105
1996-03,3142
1996-04,5454
1996-05,7935
1996-06,7650
1996-07,6989
1996-08,5938
1996-09,5639
1996-10,5371
1996-11,6021
1996-12,5246
1997-01,3804
1997-02,4307
1997-03,4798
1997-04,7418
1997-05,9528
1997-06,8146
1997-07,7988
1997-08,7689
1997-09,7115
1997-10,6928
1997-11,6903
1997-12,5598
1998-01,4334
1998-02,4285
1998-03,4561
1998-04,7324
1998-05,8863
1998-06,7546
1998-07,6345
1998-08,7080
1998-09,7006
1998-10,6777
1998-11,6458
1998-12,5997
1999-01,4060
1999-02,3739
1999-03,4348
1999-04,7981
1999-05,8982
1999-06,9128
1999-07,8411
1999-08,7608
1999-09,7765
1999-10,7183
1999-11,7218
1999-12,7128
2000-01,4985
2000-02,3911
2000-03,5890
2000-04,8912
2000-05,8569
2000-06,8518
2000-07,9112
2000-08,7676
2000-09,7733
2000-10,7321
2000-11,7749
2000-12,6694
2001-01,4905
2001-02,4569
2001-03,5856
2001-04,8512
2001-05,8342
2001-06,9041
2001-07,8163
2001-08,8515
2001-09,7712
2001-10,7892
2001-11,8114
2001-12,7281
2002-01,6100
2002-02,6018
2002-03,7433
2002-04,10925
2002-05,12567
2002-06,11968
2002-07,10945
2002-08,10844
2002-09,10225
2002-10,10902
2002-11,9288
2002-12,8349
2003-01,5881
2003-02,6339
2003-03,6857
2003-04,10577
2003-05,10980
2003-06,11510
2003-07,11476
2003-08,10275
2003-09,9956
2003-10,10268
2003-11,10114
2003-12,8273
2004-01,5686
2004-02,6224
2004-03,7957
2004-04,10997
2004-05,12480
2004-06,11418
2004-07,11800
2004-08,9914
2004-09,9987
2004-10,9979
2004-11,9461
2004-12,7986
2005-01,5259
2005-02,5695
2005-03,6237
2005-04,10102
2005-05,10722
2005-06,11129
2005-07,10064
2005-08,8477
2005-09,9554
2005-10,8599
2005-11,8710
2005-12,7661
2006-01,6661
2006-02,6539
2006-03,6744
2006-04,9579
2006-05,10054
2006-06,10329
2006-07,9609
2006-08,8728
2006-09,8838
2006-10,8733
2006-11,8430
2006-12,7158
2007-01,6317
2007-02,5008
2007-03,6205
2007-04,9210
2007-05,10600
2007-06,10633
2007-07,10039
2007-08,9534
2007-09,9084
2007-10,8224
2007-11,9477
2007-12,6656
2008-01,5245
2008-02,4735
2008-03,5283
2008-04,7606
2008-05,9394
2008-06,8629
2008-07,7868
2008-08,7309
2008-09,6871
2008-10,7152
2008-11,6339
2008-12,4916
2009-01,3123
2009-02,2474
2009-03,3170
2009-04,4384
2009-05,5903
2009-06,6209
2009-07,6597
2009-08,5960
2009-09,7388
2009-10,7720
2009-11,8149
2009-12,7054
2010-01,5869
2010-02,5371
2010-03,6401
2010-04,8510
2010-05,8874
2010-06,8536
2010-07,7849
2010-08,7352
2010-09,6682
2010-10,6898
2010-11,7099
2010-12,5777
2011-01,4147
2011-02,4876
2011-03,4555
2011-04,7017
2011-05,7381
2011-06,8260
2011-07,7662
2011-08,7510
2011-09,7414
2011-10,7289
2011-11,7432
2011-12,6787
2012-01,5017
2012-02,4862
2012-03,5561
2012-04,7706
2012-05,7719
2012-06,8122
2012-07,8084
2012-08,7807
2012-09,7293
2012-10,6745
2012-11,7089
2012-12,6306
2013-01,4057
2013-02,3998
2013-03,4558
2013-04,6486
2013-05,7588
2013-06,6966
2013-07,7049
2013-08,6810
2013-09,6037
2013-10,6479
2013-11,6642
2013-12,5351
2014-01,4106
2014-02,3730
2014-03,4192
2014-04,6453
2014-05,7439
2014-06,7580
2014-07,7425
2014-08,6960
2014-09,6186
2014-10,6738
2014-11,6490
2014-12,5401
2015-01,3537
2015-02,3491
2015-03,3741
2015-04,6044
2015-05,7032
2015-06,7120
2015-07,6886
2015-08,6548
2015-09,6271
2015-10,6389
2015-11,6594
2015-12,5700
2016-01,3779
2016-02,3801
2016-03,4395
2016-04,5526
2016-05,6798
2016-06,7507
2016-07,6840
2016-08,6086
2016-09,7278
2016-10,6953
2016-11,6659
2016-12,6262
2017-01,3985
2017-02,5020
2017-03,5203
2017-04,6458
2017-05,6628
2017-06,8139
2017-07,8202
2017-08,7071
2017-09,7910
2017-10,6462
2017-11,6998
2017-12,6174
2018-01,4060
2018-02,3835
2018-03,4623
2018-04,5469
2018-05,6807
2018-06,7101
2018-07,5981
2018-08,5444
2018-09,5972
2018-10,5148
2018-11,5884
2018-12,4853
2019-01,3178
2019-02,2611
2019-03,3202
2019-04,5227
2019-05,5853
2019-06,6348
2019-07,5788
2019-08,6461
2019-09,6027
2019-10,5363
2019-11,5829
2019-12,5391
2020-01,4000
2020-02,4302
2020-03,4655
2020-04,3603
2020-05,5672
2020-06,6147
2020-07,6773
2020-08,6207
2020-09,6395
2020-10,6685
2020-11,7273
2020-12,5805
2021-01,5022
2021-02,4601
2021-03,5850
2021-04,8004
2021-05,7066
2021-06,6950
2021-07,7414
2021-08,6702
2021-09,6372
2021-10,6551
2021-11,6860
2021-12,5343
2022-01,3557
2022-02,4227
2022-03,5306
2022-04,7312
2022-05,7123
2022-06,7341
2022-07,6854
2022-08,7268
2022-09,6648
